,sentence,tags,encoded_tags
0,"['Muy', 'magníficos', 'y', 'muy', 'poderosos', 'Señores']","['O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]"
1,"['El', 'Licenciado', 'Ramírez', ',', 'fiscal', 'de', 'este', 'Santo', 'Oficio', ',', 'ante', 'vuestras', 'mercedes', 'parezco', 'y', 'digo:', 'que', 'por', 'los', 'libros', 'y', 'registros', 'de', 'este', 'Santo', 'Oficio', ',', 'de', 'los', 'cuales', 'hago', 'presentación', ',', 'consta', 'y', 'parece', 'que', 'Pedro', 'de', 'Cazalla', ',', 'clérigo', ',', 'cura', 'del', 'lugar', 'de', 'Pedrosa', ',', 'hermano', 'del', 'Dr']","['O', 'PER', 'PER', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PLACE', 'O', 'O', 'O', 'PER']","[0, 1, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
2,"['Cazalla', ',', 'está', 'notado', 'y', 'testificado', 'del', 'crimen', 'y', 'delito', 'de', 'herejía', ',', 'del', 'cual', 'protesto', 'acusarles', 'en', 'forma']","['PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['a', 'vuestras', 'mercedes', 'pido', 'y', 'suplico', 'manden', 'dar', 'y', 'den', 'su', 'mandamiento', 'para', 'que', 'el', 'dicho', 'Pedro', 'de', 'Cazalla', 'sea', 'traído', 'preso', 'a', 'las', 'cárceles', 'de', 'este', 'Santo', 'Oficio', ',', 'con', 'secuestro', 'de', 'bienes', 'en', 'forma', ',', 'sobre', 'lo', 'cual', 'y', 'en', 'lo', 'necesario', 'imploro', 'el', 'Santo', 'Oficio', ',', 'y', 'pido', 'justicia']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ORG', 'ORG', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0]"
4,['PRESION'],['O'],[0]
5,"['Se', 'dio', 'mandamiento', 'de', 'prisión', 'a', '23', 'de', 'abril', '1558']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['Testigos', 'que', 'precedieron']","['O', 'O', 'O']","[0, 0, 0]"
7,"['Testigo', '1', 'Doña', 'Ana', 'Enríquez', 'y', 'de', 'oídas', 'lo', 'depuso', 'en', '23', 'de', 'abril', '1558']","['O', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['Testigo', '6', 'Doña', 'Juana', 'de', 'Fonseca', 'lo', 'depuso', 'en', '19', 'de', 'abril', 'de', 'cosas', 'de', 'oídas']","['O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['Testigo', '9', 'Fray', 'Alonso', 'de', 'Horozco', 'depone', 'de', 'oídas', ',', 'lo', 'depuso', 'a', '17', 'de', 'abril']","['O', 'O', 'PER', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
