,sentence,tags,encoded_tags
0,"['El', 'maestro', 'pregunta', 'por', 'orden', 'y', 'el', 'niño', 'responde', 'por', 'el', 'mismo', 'orden', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['¿', 'De', 'qué', 'religión', 'eres', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]"
2,"['—', 'De', 'la', 'religión', 'cristiana', '.']","['O', 'O', 'O', 'CHRI', 'CHRI', 'O']","[0, 0, 0, 3, 3, 0]"
3,"['Maestro', '.']","['O', 'O']","[0, 0]"
4,"['—', 'Luego', 'eres', 'cristiano', '.']","['O', 'O', 'CHRI', 'CHRI', 'O']","[0, 0, 3, 3, 0]"
5,"['Niño', '.']","['O', 'O']","[0, 0]"
6,"['—', 'Así', 'es', 'verdad', ',', 'que', 'soy', 'cristiano', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'CHRI', 'CHRI', 'O']","[0, 0, 0, 0, 0, 0, 3, 3, 0]"
7,"['Maestro', '.']","['O', 'O']","[0, 0]"
8,"['—', '¿', 'Por', 'qué', ',', 'veamos', ',', 'lo', 'eres', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['—', 'Porque', 'creo', 'en', 'Jesucristo', ',', 'salvador', 'mío', ',', 'y', 'soy', 'bautizado', 'en', 'el', 'nombre', 'del', 'Padre', 'y', 'del', 'Hijo', 'y', 'del', 'Espíritu', 'Santo', '.']","['O', 'O', 'JUS', 'JUS', 'JUS', 'O', 'JUS', 'JUS', 'O', 'O', 'SACRA', 'SACRA', 'O', 'O', 'O', 'O', 'GOD', 'GOD', 'GOD', 'GOD', 'GOD', 'GOD', 'GOD', 'GOD', 'O']","[0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 4, 4, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
10,"['Maestro', '.']","['O', 'O']","[0, 0]"
11,"['—', '¿', 'De', 'dónde', 'se', 'deriva', 'el', 'nombre', 'de', 'cristiano', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'CHRI', 'CHRI', 'CHRI', 'CHRI', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 0]"
12,"['—', 'De', 'Cristo', ',', 'porque', 'todos', 'los', 'que', 'lo', 'son', 'tienen', 'su', 'nombre', '.']","['O', 'O', 'PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"['Maestro', '.']","['O', 'O']","[0, 0]"
14,"['—', '¿', 'Qué', 'significa', 'este', 'nombre', '«', 'cristiano', '»', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"['—', 'Hombre', 'que', 'con', 'viva', 'fe', 'cree', 'en', 'Jesucristo', 'y', 'lo', 'sigue', ',', 'poniendo', 'por', 'obra', 'lo', 'que', 'él', 'enseñó', ',', 'y', 'es', 'también', 'bautizado', ',', 'como', 'ahora', 'acabé', 'de', 'decir', '.']","['O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'SACRA', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]"
16,"['Maestro', '.']","['O', 'O']","[0, 0]"
17,"['—', '¿', 'Qué', 'cosa', 'es', 'fe', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'JUS', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 2, 0, 0, 0]"
18,"['Es', 'un', 'gracioso', 'don', 'de', 'Dios', ',', 'con', 'que', 'le', 'conocemos', 'por', 'nuestro', 'Padre', ',', 'aplacado', 'ya', 'con', 'nosotros', 'por', 'amor', 'de', 'su', 'unigénito', 'Hijo', ';', 'y', ',', 'confiados', 'en', 'él', ',', 'nos', 'aseguramos', 'de', 'la', 'verdad', 'de', 'sus', 'palabras', 'y', 'promesas', ',', 'y', 'recibimos', 'virtud', 'para', 'poner', 'por', 'obra', 'lo', 'que', 'nos', 'tiene', 'mandado', '.']","['O', 'O', 'O', 'JUS', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'O', 'GOD', 'GOD', 'O', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'JUS', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"['Maestro', '.']","['O', 'O']","[0, 0]"
20,"['—', '¿', 'Qué', 'más', 'tenemos', 'por', 'esta', 'fe', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]"
21,"['—', 'Somos', 'por', 'ella', 'incorporados', 'en', 'Cristo', 'y', 'hechos', 'partícipes', 'de', 'su', 'justicia', ',', 'y', 'alcanzamos', 'victoria', 'del', 'mundo', 'y', 'del', 'Reino', 'del', 'demonio', ',', 'y', 'vivimos', 'en', 'esperanza', 'de', 'poseer', 'la', 'vida', 'eterna', '.']","['O', 'O', 'O', 'O', 'JUS', 'JUS', 'JUS', 'O', 'JUS', 'JUS', 'JUS', 'JUS', 'JUS', 'O', 'O', 'JUS', 'JUS', 'JUS', 'JUS', 'O', 'O', 'JUS', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O']","[0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]"
22,"['Maestro', '.']","['O', 'O']","[0, 0]"
23,"['—', '¿', 'Quién', 'dice', 'eso', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]"
24,"['—', 'El', 'apóstol', 'san', 'Juan', 'y', 'los', 'otros', 'evangelistas', 'en', 'muchos', 'lugares', 'del', 'Evangelio', '.']","['O', 'O', 'PER', 'PER', 'PER', 'O', 'PER', 'PER', 'PER', 'O', 'O', 'O', 'O', 'GOD', 'O']","[0, 0, 5, 5, 5, 0, 5, 5, 5, 0, 0, 0, 0, 1, 0]"
25,"['Maestro', '.']","['O', 'O']","[0, 0]"
26,"['—', '¿', 'Por', 'qué', 'dijiste', 'arriba', 'que', 'hombre', 'cristiano', 'es', 'el', 'que', 'cree', 'con', 'viva', 'fe', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'CHRI', 'CHRI', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]"
27,"['—', 'Porque', ',', 'por', 'la', 'fe', 'muerta', ',', 'el', 'hombre', 'es', 'cristiano', 'de', 'nombre', 'solamente', ';', 'mas', ',', 'por', 'la', 'fe', 'viva', ',', 'lo', 'es', 'de', 'nombre', 'y', 'de', 'verdad', 'juntamente', '.']","['O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"['Maestro', '.']","['O', 'O']","[0, 0]"
29,"['—', 'Si', 'la', 'fe', 'muerta', 'no', 'basta', 'al', 'hombre', 'para', 'ser', 'verdadero', 'cristiano', ',', '¿', 'tampoco', 'le', 'bastará', 'para', 'ser', 'salvo', '?', 'Niño', '.']","['O', 'O', 'O', 'JUS', 'JUS', 'JUS', 'JUS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O']","[0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]"
30,"['—', 'Así', 'es', 'verdad', ',', 'porque', 'por', 'la', 'fe', 'muerta', 'ninguno', 'puede', 'agradar', 'a', 'Dios', 'ni', 'recibir', 'salud', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'JUS', 'JUS', 'JUS', 'O', 'JUS', 'JUS', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 0]"
31,"['Maestro', '.']","['O', 'O']","[0, 0]"
32,"['—', '¿', 'Por', 'qué', 'se', 'llama', 'fe', 'muerta', '?', 'Niño', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'JUS', 'JUS', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0]"
